s,s,s
﻿全,77,
﻿闻,77,
﻿歌,77,
﻿病,77,
﻿贵,76,
﻿爱,76,
﻿记,76,
﻿船,76,
﻿周,75,
﻿常,75,
﻿拿,75,
﻿步,75,
﻿果,75,
﻿宵,74,
﻿齐,74,
﻿娇,74,
﻿皇,73,
﻿逢,73,
﻿兵,73,
﻿贤,73,
﻿依,73,
﻿园,72,
﻿直,72,
﻿告,71,
﻿哟,71,
﻿烟,71,
﻿啥,71,
﻿丹,71,
﻿用,70,
﻿士,70,
﻿姓,70,
﻿信,70,
﻿灯,70,
﻿卖,70,
﻿急,70,
﻿法,70,
﻿兴,70,
﻿临,70,
﻿独,70,
﻿收,69,
﻿苏,69,
﻿怜,69,
﻿经,69,
﻿数,69,
﻿端,69,
﻿汉,69,
﻿唤,68,
﻿佛,68,
﻿桃,68,
﻿慢,67,
﻿度,67,
﻿妇,67,
﻿五,67,
﻿宝,67,
﻿偏,67,
﻿客,66,
﻿语,66,
﻿八,66,
﻿草,66,
﻿讲,66,
﻿字,66,
﻿片,66,
﻿通,66,
﻿杨,66,
﻿介,66,
﻿劳,65,
﻿怪,65,
﻿悲,65,
﻿肠,65,
﻿番,65,
﻿城,65,
﻿残,65,
﻿暗,65,
﻿陈,65,
﻿乡,64,
﻿尚,64,
﻿肯,64,
﻿兄,63,
﻿痛,63,
﻿惟,63,
﻿忠,63,
﻿乐,63,
﻿关,63,
﻿立,63,
﻿解,62,
﻿嗄,62,
﻿福,62,
﻿罗,62,
﻿乱,62,
﻿赏,62,
﻿妾,62,
﻿古,61,
﻿凄,61,
﻿晚,61,
﻿良,61,
﻿节,61,
﻿紧,61,
﻿扇,61,
﻿囘,61,
﻿鬼,61,
﻿诗,61,
﻿杜,61,
﻿九,60,
﻿竟,60,
﻿活,60,
﻿钗,60,
﻿茶,60,
﻿破,59,
﻿至,59,
﻿认,59,
﻿忙,59,
﻿飘,59,
﻿近,59,
﻿承,59,
﻿卿,58,
﻿羞,58,
﻿求,58,
﻿烦,58,
﻿恐,58,
﻿驾,58,
﻿鸾,58,
﻿咦,58,
﻿星,58,
﻿保,58,
﻿杯,58,
﻿力,58,
﻿旨,58,
﻿绝,58,
﻿幽,58,
﻿蒙,57,
﻿救,57,
﻿任,57,
﻿功,57,
﻿怀,57,
﻿候,57,
﻿并,57,
﻿既,57,
﻿弄,57,
﻿丝,57,
﻿𠮾,56,
﻿景,56,
﻿恼,56,
﻿石,56,
﻿连,56,
﻿院,56,
﻿河,56,
﻿久,56,
﻿扶,56,
﻿嗳,56,
﻿禁,55,
﻿觉,55,
﻿由,55,
﻿叹,55,
﻿孩,55,
﻿初,55,
﻿醒,55,
﻿终,55,
﻿众,55,
﻿实,55,
﻿沉,55,
﻿树,55,
﻿燕,55,
﻿虽,54,
﻿眉,54,
﻿珠,54,
﻿暂,54,
﻿绣,54,
﻿散,54,
﻿交,54,
﻿提,54,
﻿狗,54,
﻿枝,54,
﻿阴,54,
﻿末,54,
﻿息,53,
﻿奈,53,
﻿昏,53,
﻿俚,53,
﻿府,53,
﻿波,53,
﻿妆,53,
﻿亭,53,
﻿强,53,
﻿怨,53,
﻿遥,52,
﻿程,52,
﻿答,52,
﻿宴,52,
﻿唱,52,
﻿引,52,
﻿本,52,
﻿楚,51,
﻿照,51,
﻿害,51,
﻿哭,51,
﻿侍,51,
﻿反,51,
﻿芳,51,
﻿寄,51,
﻿吾,51,
﻿拾,51,
﻿尘,50,
﻿露,50,
﻿荒,50,
﻿妨,50,
﻿第,50,
﻿伊,50,
﻿忘,50,
﻿骨,50,
﻿武,50,
﻿性,50,
﻿奏,50,
﻿鼓,50,
﻿钱,50,
﻿遭,49,
﻿亦,49,
﻿御,49,
﻿权,49,
﻿桥,49,
﻿秀,49,
﻿碧,49,
﻿莲,49,
﻿惜,49,
﻿遇,48,
﻿像,48,
﻿登,48,
﻿灵,48,
﻿赐,48,
﻿六,48,
﻿洞,48,
﻿摇,48,
﻿绿,48,
﻿锦,48,
﻿赵,48,
﻿粉,48,
﻿图,48,
﻿学,48,
﻿负,48,
﻿林,47,
﻿感,47,
﻿犹,47,
﻿足,47,
﻿封,47,
﻿血,47,
﻿發,47,
﻿伏,47,
﻿萧,46,
﻿厮,46,
﻿翻,46,
﻿恶,46,
﻿胡,46,
﻿指,46,
﻿饮,46,
﻿列,46,
﻿州,45,
﻿奇,45,
﻿亡,45,
﻿体,45,
﻿刀,45,
﻿叔,45,
﻿庭,45,
﻿场,45,
﻿堪,45,
﻿窗,45,
﻿停,45,
﻿唷,45,
﻿烧,44,
﻿目,44,
﻿恰,44,
﻿紫,44,
﻿虚,44,
﻿特,44,
﻿化,44,
﻿眠,44,
﻿抛,44,
﻿现,44,
﻿接,43,
﻿养,43,
﻿除,43,
﻿比,43,
﻿笃,43,
﻿摆,43,
﻿结,43,
﻿乾,43,
﻿座,43,
﻿种,43,
﻿婆,43,
﻿娥,43,
﻿帝,43,
﻿遊,42,
﻿吹,42,
﻿抱,42,
﻿冤,42,
﻿舍,42,
﻿料,42,
﻿投,42,
﻿假,42,
﻿约,42,
﻿隔,42,
﻿孝,42,
﻿阵,42,
﻿贱,42,
﻿闷,42,
﻿底,42,
﻿遍,42,
﻿即,42,
﻿纱,42,
﻿尊,42,
﻿借,41,
﻿雪,41,
﻿启,41,
﻿秦,41,
﻿洒,41,
﻿饶,41,
﻿词,41,
﻿丽,41,
﻿𠲔,41,
﻿期,41,
﻿湖,41,
﻿试,40,
﻿氏,40,
﻿各,40,
﻿忽,40,
﻿挨,40,
﻿完,40,
﻿苍,40,
﻿干,40,
﻿共,40,
﻿…,40,
﻿凭,40,
﻿颜,40,
﻿滴,40,
﻿状,40,
﻿夕,40,
﻿避,40,
﻿孙,40,
﻿寡,40,
﻿物,40,
﻿识,40,
﻿参,40,
﻿鸳,40,
﻿写,40,
﻿义,40,
﻿婿,40,
﻿叩,39,
﻿及,39,
﻿穿,39,
﻿付,39,
﻿服,39,
﻿单,39,
﻿霞,39,
﻿婢,39,
﻿遣,39,
﻿猜,39,
﻿素,39,
﻿枕,39,
﻿歇,39,
﻿严,38,
﻿昨,38,
﻿载,38,
﻿工,38,
﻿诉,38,
﻿鱼,38,
﻿劝,38,
﻿呼,38,
﻿计,38,
﻿调,38,
﻿㫖,38,
﻿垂,38,
﻿瑶,38,
﻿招,38,
﻿辞,37,
﻿凉,37,
﻿戚,37,
﻿暮,37,
﻿铁,37,
﻿圆,37,
﻿逃,37,
﻿雁,37,
﻿折,37,
﻿英,37,
﻿朱,37,
﻿挂,37,
﻿迎,37,
﻿傍,37,
﻿句,37,
﻿降,37,
﻿闹,37,
﻿帘,37,
﻿微,37,
﻿车,37,
﻿啼,37,
﻿姻,37,
﻿争,36,
﻿袖,36,
﻿失,36,
﻿倘,36,
﻿迟,36,
﻿衙,36,
﻿困,36,
﻿伴,36,
